sample_id,plot_id,site,treatment,collection_date,ph,moisture_pct,nitrogen_mgkg,phosphorus_mgkg,potassium_mgkg,temp_c,rainfall_mm,insect_count,is_irrigated,qc_status,sensor_status,microbial_index,yield_g,notes
S0054,P15,south,control,2024-08-28,6.54,17.41,36.13,8.69,84.42,13.89,4.61,3,false,pass,ok,0.889,263.62,late sampling
S0055,P16,north,npk,2024-11-19,6.42,17.25,50.59,31.34,136.8,24.25,7.21,8,true,pass,ok,1.162,342.34,sensor drift
S0056,P17,east,drought,2024-03-15,5.69,5.2,31.35,11.06,90.11,20.63,1.27,20,true,pass,ok,1.02,178.03,
S0057,P18,north,drought,2024-05-27,6.21,13.66,32.23,6.99,99.77,21.33,3.95,14,false,pass,ok,1.017,211.1,late sampling
S0058,P19,east,lime,2024-05-31,7.09,14.52,46.21,8.25,67.91,19.58,4.11,0,true,pass,ok,1.369,262.46,recheck moisture
S0059,P20,central,organic,2024-04-22,6.36,19.09,24.71,14.93,69.03,26.12,0.0,0,false,pass,ok,1.144,269.95,baseline
S0060,P21,east,organic,2024-07-31,5.81,27.78,40.35,20.84,91.05,27.92,10.24,6,false,pass,ok,1.495,305.13,baseline
S0061,P22,west,control,2024-03-13,6.5,19.03,36.88,8.16,63.89,26.3,5.56,10,true,pass,ok,0.918,287.88,sensor drift
S0062,P23,central,drought,2024-11-22,6.53,13.55,28.67,18.2,85.85,19.47,11.66,9,true,pass,ok,1.118,221.99,recheck moisture
S0063,P24,north,control,2024-06-04,6.8,20.45,28.9,6.14,75.83,14.9,16.8,8,true,pass,ok,1.474,239.96,edge plot
S0064,P25,central,drought,2024-05-23,5.44,7.65,31.29,17.49,69.18,8.38,5.04,2,false,pass,ok,1.247,206.12,edge plot
S0065,P26,north,npk,2024-11-24,6.37,19.43,44.53,15.99,156.7,24.89,11.14,26,false,pass,ok,1.246,363.2,late sampling
S0066,P27,north,organic,2024-03-15,6.79,16.2,29.42,22.19,118.01,9.16,1.35,22,false,pass,ok,1.683,298.8,baseline
S0067,P28,north,drought,2024-08-17,6.33,8.84,24.68,1.0,78.95,7.04,10.5,0,true,pass,maintenance,1.465,198.13,edge plot
S0068,P29,west,control,2024-09-08,6.45,8.96,30.95,9.01,89.17,9.03,2.35,4,false,pass,ok,1.117,259.98,edge plot
S0069,P30,north,control,2024-12-01,6.38,18.85,12.31,10.96,99.25,11.48,4.5,19,true,pass,ok,1.077,216.15,recheck moisture
S0070,P31,west,control,2024-02-16,6.6,19.69,26.99,9.49,47.18,19.35,1.4,6,true,pass,ok,0.989,227.39,
S0071,P32,north,organic,2024-11-03,5.97,28.26,38.77,18.59,112.06,26.33,3.5,20,true,pass,ok,1.211,330.1,late sampling
S0072,P33,central,lime,2024-01-14,6.63,14.21,14.7,13.14,82.6,24.3,12.92,8,true,pass,ok,1.572,238.69,baseline
S0073,P34,north,lime,2024-04-20,6.35,15.48,26.34,8.66,94.76,28.59,0.0,2,true,pass,ok,1.436,254.29,edge plot
S0074,P35,west,lime,2024-08-14,6.4,19.16,34.36,8.91,87.21,22.28,1.88,6,true,pass,error,1.359,266.7,recheck moisture
S0075,P36,south,organic,2024-05-28,5.99,31.45,33.64,17.76,110.72,22.89,0.0,11,false,pass,ok,1.547,319.63,baseline
S0076,P37,east,lime,2024-08-07,6.59,16.82,16.95,10.62,82.45,13.79,10.64,1,false,warn,ok,1.304,222.86,late sampling
S0077,P38,west,lime,2024-02-10,6.37,16.48,31.77,8.79,89.47,18.25,13.4,18,false,pass,ok,1.393,224.13,recheck moisture
S0078,P39,north,npk,2024-05-11,5.84,11.92,36.89,20.6,100.68,24.55,0.0,12,false,pass,maintenance,0.874,298.02,late sampling
S0079,P40,east,organic,2024-03-18,6.13,17.76,35.19,17.54,71.93,14.45,13.97,16,true,pass,ok,1.077,257.15,baseline
S0080,P01,central,lime,2024-09-16,6.36,8.22,15.39,9.92,74.8,27.82,4.51,9,false,pass,maintenance,0.766,226.39,sensor drift
S0081,P02,north,lime,2024-11-26,6.11,18.07,33.58,5.48,88.13,9.81,4.59,16,true,pass,ok,1.288,234.34,baseline
S0082,P03,east,control,2024-10-12,6.41,16.46,37.54,5.18,47.39,26.96,4.03,21,true,pass,maintenance,1.121,245.16,late sampling
S0083,P04,north,organic,2024-10-13,6.05,26.13,18.85,12.38,65.35,23.73,5.1,3,false,pass,ok,1.398,297.05,recheck moisture
S0084,P05,east,drought,2024-04-08,5.67,12.17,27.44,11.03,73.11,24.5,14.34,0,true,pass,ok,1.365,213.16,recheck moisture
S0085,P06,south,lime,2024-03-25,6.77,22.12,27.06,7.99,33.29,20.65,8.16,0,true,pass,maintenance,1.316,219.64,recheck moisture
S0086,P07,east,lime,2024-08-13,6.45,17.12,32.69,1.0,71.95,25.61,9.04,7,true,pass,ok,1.09,253.77,late sampling
S0087,P08,north,organic,2024-02-12,6.52,22.61,50.19,18.58,110.43,28.71,9.15,20,true,pass,ok,1.317,325.8,baseline
S0088,P09,east,npk,2024-01-15,5.98,23.79,52.39,20.85,118.7,6.92,13.89,7,false,pass,ok,0.793,325.23,baseline
S0089,P10,east,npk,2024-03-17,6.26,17.21,35.3,24.53,119.54,13.23,13.98,14,false,pass,ok,1.479,301.78,baseline
S0090,P11,central,lime,2024-05-03,6.76,17.94,25.43,6.87,98.69,10.5,4.41,3,true,warn,ok,1.267,227.03,baseline
S0091,P12,west,drought,2024-01-23,6.16,14.42,24.27,17.01,83.23,14.28,7.1,0,false,pass,ok,1.502,206.15,
S0092,P13,south,drought,2024-12-22,5.97,12.0,28.92,7.97,37.81,6.89,11.18,25,false,pass,ok,0.831,221.83,edge plot
S0093,P14,east,control,2024-11-27,5.83,13.12,35.91,12.39,67.93,8.99,0.0,24,false,warn,ok,1.489,250.43,edge plot
S0094,P15,east,lime,2024-05-16,6.86,17.74,21.79,4.05,59.92,19.09,6.94,14,false,pass,ok,0.858,254.77,sensor drift
S0095,P16,west,control,2024-06-29,6.34,12.1,29.54,10.35,74.02,22.11,2.02,17,false,pass,ok,1.419,221.08,edge plot
S0096,P17,north,npk,2024-02-04,5.88,15.39,39.0,22.98,108.56,9.68,2.51,14,true,pass,ok,1.054,328.91,sensor drift
S0097,P18,south,control,2024-01-14,6.48,13.55,25.05,7.11,74.7,12.25,0.0,20,true,warn,ok,1.551,264.0,edge plot
S0098,P19,south,drought,2024-02-14,6.37,23.94,20.25,6.9,55.38,19.2,6.73,18,true,pass,ok,1.309,226.59,recheck moisture
S0099,P20,north,npk,2024-03-12,5.88,13.74,45.28,17.97,101.14,29.59,16.54,24,true,pass,ok,0.945,325.6,edge plot
S0100,P21,central,control,2024-03-05,6.77,14.92,18.18,8.44,65.03,27.07,9.62,0,true,warn,ok,1.271,229.07,baseline
S0101,P22,central,npk,2024-06-04,5.8,14.88,56.29,16.6,145.25,27.48,10.58,6,false,pass,ok,1.099,361.6,late sampling
S0102,P23,south,lime,2024-10-24,6.09,14.1,14.27,3.93,58.76,19.53,8.66,10,true,pass,ok,0.952,200.38,edge plot
S0103,P24,central,control,2024-09-11,6.67,11.81,21.76,9.04,92.77,25.38,2.52,16,false,pass,ok,0.978,235.36,recheck moisture
S0104,P25,east,organic,2024-06-25,6.77,26.95,38.64,12.75,89.04,17.2,7.5,18,true,pass,ok,1.359,308.59,recheck moisture
S0105,P26,east,lime,2024-06-09,6.13,26.06,47.37,1.96,87.66,17.94,13.06,16,true,pass,ok,1.394,297.63,late sampling
S0106,P27,west,organic,2024-10-01,5.61,25.88,35.68,15.65,112.11,15.68,9.87,12,false,pass,ok,1.293,324.43,late sampling
S0107,P28,east,lime,2024-12-14,6.63,19.4,27.61,1.77,117.86,19.39,5.78,15,false,pass,ok,1.584,260.46,edge plot
S0108,P29,central,drought,2024-03-17,6.13,7.01,24.31,8.19,73.01,29.77,7.66,5,true,pass,ok,1.146,171.96,baseline
S0109,P30,east,organic,2024-12-10,5.73,20.66,36.43,22.53,73.31,21.1,4.13,8,false,fail,ok,1.511,308.98,edge plot
S0110,P31,south,lime,2024-11-18,6.77,18.68,17.27,11.3,67.93,19.74,6.81,7,true,pass,ok,1.284,258.17,late sampling
S0111,P32,west,control,2024-12-27,5.77,19.06,31.84,7.44,61.28,13.53,14.14,27,true,pass,ok,1.135,233.47,
S0112,P33,east,lime,2024-09-04,6.13,18.13,35.22,11.69,127.76,13.14,7.01,17,false,pass,ok,1.607,248.97,sensor drift
S0113,P34,east,control,2024-10-20,6.41,8.83,40.37,14.14,39.3,25.31,6.76,18,false,pass,ok,1.188,272.95,recheck moisture
S0114,P35,central,organic,2024-10-14,6.44,28.05,41.4,13.45,88.04,22.08,0.0,9,true,pass,ok,1.846,341.7,baseline
S0115,P36,central,npk,2024-07-27,6.38,21.74,38.8,18.07,85.48,12.89,7.54,14,false,pass,ok,1.165,293.46,baseline
S0116,P37,south,drought,2024-03-31,6.52,19.34,28.44,10.61,68.77,23.98,11.45,7,true,pass,ok,1.403,207.56,edge plot
S0117,P38,central,lime,2024-09-09,6.97,21.55,32.08,8.96,112.41,13.94,6.97,0,false,pass,ok,1.095,289.6,recheck moisture
S0118,P39,south,lime,2024-11-23,6.98,20.52,16.48,15.09,93.88,10.43,11.37,17,true,pass,ok,1.215,195.35,sensor drift
S0119,P40,central,lime,2024-01-06,6.21,15.9,29.54,7.79,62.48,9.83,2.69,0,false,pass,ok,0.818,217.24,sensor drift
S0120,P01,central,npk,2024-04-22,6.75,13.09,46.2,25.86,108.78,22.85,16.62,4,false,pass,ok,1.057,301.3,baseline
S0121,P02,central,drought,2024-09-27,6.24,16.12,29.86,14.66,88.58,18.13,4.93,9,true,pass,ok,1.291,233.7,baseline
S0122,P03,central,drought,2024-01-29,5.94,6.05,24.27,14.17,87.12,25.37,6.99,4,false,pass,ok,1.421,189.51,baseline
S0123,P04,central,control,2024-02-05,6.78,14.35,26.15,10.92,88.79,21.4,5.99,0,true,warn,ok,1.411,233.72,baseline
S0124,P05,central,npk,2024-11-30,6.63,28.39,62.06,20.37,115.85,29.49,13.12,0,false,pass,ok,0.983,381.05,recheck moisture
S0125,P06,south,drought,2024-06-26,5.59,14.46,40.12,10.1,75.42,21.84,0.0,0,false,pass,ok,0.974,211.3,
S0126,P07,north,npk,2024-01-23,6.08,18.31,50.57,22.89,105.37,18.09,5.3,26,false,pass,ok,1.097,324.77,sensor drift
S0127,P08,south,lime,2024-04-23,6.4,17.1,35.08,4.53,64.02,10.2,4.69,2,true,pass,ok,0.976,274.8,
S0128,P09,west,drought,2024-03-17,5.76,13.26,34.1,10.16,92.84,26.58,12.12,19,true,pass,ok,0.956,208.26,sensor drift
S0129,P10,south,organic,2024-11-27,5.69,19.88,35.39,8.67,87.48,7.24,2.14,19,true,pass,ok,1.182,286.29,recheck moisture
S0130,P11,west,npk,2024-06-19,5.96,20.61,42.01,24.42,137.53,23.93,8.36,0,false,pass,ok,1.215,346.73,sensor drift
S0131,P12,west,drought,2024-09-30,6.18,9.48,32.05,13.32,66.46,25.27,6.25,0,true,pass,ok,1.679,212.12,
S0132,P13,south,control,2024-05-13,6.26,11.8,18.57,9.26,91.42,11.52,3.92,9,false,warn,ok,1.224,206.46,
S0133,P14,west,drought,2024-03-27,6.28,9.52,28.52,7.56,76.69,27.34,23.04,10,true,pass,ok,1.233,191.9,baseline
S0134,P15,west,npk,2024-11-18,5.88,17.84,43.95,18.14,109.37,20.83,3.85,2,true,pass,ok,1.163,327.76,late sampling
S0135,P16,east,lime,2024-05-26,5.92,20.6,13.95,13.03,42.95,8.57,10.8,14,true,pass,ok,1.173,254.6,sensor drift
S0136,P17,west,drought,2024-10-16,5.69,9.76,18.61,10.77,73.49,29.8,7.1,10,true,pass,ok,0.946,162.39,baseline
S0137,P18,west,drought,2024-11-26,6.34,4.0,18.64,14.05,92.44,7.02,10.9,27,false,pass,ok,1.709,191.77,late sampling
S0138,P19,central,control,2024-04-01,6.71,13.47,43.76,4.29,64.36,23.11,6.07,13,true,pass,ok,0.792,290.1,sensor drift
S0139,P20,west,npk,2024-12-18,6.47,5.82,44.89,26.05,116.39,26.13,2.46,23,false,pass,ok,1.396,310.98,edge plot
S0140,P21,west,npk,2024-07-01,6.26,15.95,48.62,18.64,100.96,24.53,6.73,17,true,pass,ok,1.231,321.59,edge plot
S0141,P22,east,organic,2024-02-24,5.71,28.57,29.96,16.13,86.66,8.1,1.05,16,true,pass,ok,1.182,300.26,sensor drift
S0142,P23,west,control,2024-05-29,6.1,19.32,12.36,1.0,59.36,11.83,0.0,10,true,pass,ok,1.292,240.72,sensor drift
S0143,P24,west,organic,2024-09-04,6.54,17.05,47.72,15.15,74.29,20.8,4.88,13,true,pass,ok,1.137,337.05,edge plot
S0144,P25,east,drought,2024-11-29,6.57,13.6,30.31,12.53,76.08,13.54,23.41,7,true,pass,ok,1.034,200.76,edge plot
S0145,P26,east,drought,2024-07-05,5.54,5.45,20.82,4.19,72.3,19.2,14.39,9,false,pass,ok,1.038,147.8,edge plot
S0146,P27,west,npk,2024-11-20,5.96,17.96,49.63,18.55,118.13,16.78,1.53,5,true,warn,ok,1.14,339.23,sensor drift
S0147,P28,central,lime,2024-11-22,7.0,20.63,28.83,8.77,70.66,20.7,0.04,7,false,warn,ok,1.234,249.33,baseline
S0148,P29,east,npk,2024-09-18,6.5,11.59,40.65,22.7,127.14,17.11,4.06,0,true,fail,ok,1.042,351.64,baseline
S0149,P30,north,npk,2024-06-27,5.97,15.06,46.51,17.48,112.19,16.52,6.27,5,true,pass,ok,1.411,306.1,
S0150,P31,south,npk,2024-09-21,5.81,21.08,53.66,24.81,106.63,15.72,11.44,22,true,pass,ok,1.309,370.87,edge plot
S0151,P32,north,npk,2024-04-15,5.93,15.7,31.33,15.66,94.93,18.89,5.36,15,true,pass,ok,1.412,303.8,edge plot
S0152,P33,central,drought,2024-10-27,5.54,8.02,32.1,12.8,103.81,25.21,14.99,6,false,pass,ok,1.379,211.04,recheck moisture
S0153,P34,central,drought,2024-08-02,6.12,6.79,21.2,5.05,81.87,28.06,11.36,9,true,pass,ok,1.39,160.95,sensor drift
S0154,P35,north,drought,2024-03-10,5.63,6.69,31.85,7.65,64.85,17.8,6.39,3,true,pass,ok,1.212,201.19,recheck moisture
S0155,P36,central,organic,2024-03-27,6.54,16.91,27.48,11.22,95.63,19.75,7.16,21,false,pass,ok,1.517,264.52,recheck moisture
S0156,P37,west,control,2024-11-30,6.5,12.93,54.17,6.48,85.18,25.6,0.0,21,false,pass,ok,1.002,270.33,
S0157,P38,central,drought,2024-03-25,6.14,12.79,10.69,11.77,58.02,18.77,5.01,9,false,pass,ok,1.487,171.61,
S0158,P39,north,npk,2024-07-29,6.7,27.03,44.24,27.6,135.82,11.99,5.29,0,false,pass,ok,1.025,338.93,edge plot
S0159,P40,west,drought,2024-02-08,6.16,12.45,22.58,6.79,78.58,28.47,0.0,26,true,pass,ok,1.156,165.03,edge plot
S0160,P01,east,control,2024-09-30,6.08,26.23,22.03,6.47,80.53,12.81,4.96,10,false,pass,ok,1.206,252.55,
S0161,P02,west,control,2024-03-04,6.72,20.72,32.4,14.22,79.03,29.9,18.45,3,true,warn,ok,1.397,272.07,baseline
S0162,P03,east,npk,2024-01-27,6.08,15.62,56.66,22.58,136.15,22.89,14.83,12,true,pass,ok,1.585,344.06,baseline
S0163,P04,west,npk,2024-09-01,5.68,12.59,53.69,24.77,119.37,27.14,14.73,22,false,pass,error,1.392,350.13,baseline
S0164,P05,central,npk,2024-08-13,6.02,19.72,57.93,26.85,97.99,16.62,10.61,28,true,pass,ok,1.042,366.91,recheck moisture
S0165,P06,south,organic,2024-11-26,5.7,18.25,29.43,10.58,75.43,22.57,13.07,2,true,pass,ok,1.497,273.99,baseline
S0166,P07,south,drought,2024-07-16,5.54,4.96,25.03,1.0,71.22,29.69,10.92,10,false,pass,ok,1.027,156.11,baseline
S0167,P08,north,lime,2024-02-04,5.92,20.17,42.68,13.82,74.25,12.88,5.62,0,true,pass,ok,1.06,273.63,baseline
S0168,P09,east,control,2024-09-18,6.71,20.58,24.25,7.53,101.19,24.32,2.93,2,true,pass,maintenance,1.213,264.44,edge plot
S0169,P10,north,drought,2024-11-09,6.13,8.31,37.26,9.88,70.94,22.99,6.92,7,false,pass,ok,1.172,196.43,recheck moisture
S0170,P11,east,control,2024-01-16,6.0,13.05,29.19,9.12,128.74,21.06,0.83,12,true,warn,ok,1.437,270.26,late sampling
S0171,P12,north,npk,2024-09-17,5.6,18.45,44.02,25.65,114.88,28.09,14.58,30,true,pass,ok,1.1,319.19,recheck moisture
S0172,P13,west,organic,2024-05-18,6.59,21.96,31.25,15.39,89.75,11.36,6.17,11,true,warn,ok,1.532,282.92,baseline
S0173,P14,central,drought,2024-01-05,5.84,8.96,38.54,9.8,66.61,14.84,28.65,7,false,pass,ok,1.241,200.23,edge plot
S0174,P15,north,npk,2024-10-04,6.02,22.92,31.14,22.21,109.7,21.78,13.64,1,true,pass,ok,1.112,320.17,recheck moisture
S0175,P16,east,control,2024-01-23,6.71,22.35,19.17,8.83,63.44,29.39,10.32,13,true,pass,ok,0.957,239.12,recheck moisture
S0176,P17,south,organic,2024-05-13,6.62,28.02,29.42,17.75,81.07,16.87,9.48,31,true,pass,ok,1.715,318.74,sensor drift
S0177,P18,west,control,2024-10-01,6.03,18.63,16.3,2.38,88.04,8.17,9.81,5,false,pass,ok,1.288,228.36,
S0178,P19,south,organic,2024-07-21,6.22,22.46,27.43,17.0,94.74,15.71,0.0,15,true,pass,ok,1.525,295.98,recheck moisture
S0179,P20,south,npk,2024-07-24,6.05,13.58,36.6,19.31,103.11,25.51,10.17,12,false,pass,ok,1.589,291.67,sensor drift
S0180,P21,north,control,2024-08-24,5.66,22.26,21.09,9.25,59.2,15.19,2.98,15,false,pass,ok,1.405,269.56,late sampling
S0181,P22,south,organic,2024-09-12,6.09,22.48,32.11,15.6,104.61,10.79,13.49,5,false,pass,ok,1.935,298.33,sensor drift
S0182,P23,west,lime,2024-09-05,6.31,14.37,22.17,9.88,84.1,20.33,18.76,14,true,pass,ok,0.993,255.52,recheck moisture
S0183,P24,south,control,2024-05-06,6.39,17.14,39.65,11.18,76.97,29.91,10.22,27,false,pass,ok,1.288,257.1,late sampling
S0184,P25,east,organic,2024-10-29,5.63,20.66,14.5,11.26,85.99,10.52,20.36,10,true,pass,ok,1.653,279.52,recheck moisture
S0185,P26,north,lime,2024-09-01,5.9,20.63,22.35,14.34,100.91,28.05,10.96,6,true,pass,ok,1.274,213.98,sensor drift
S0186,P27,north,organic,2024-12-26,6.73,22.35,35.25,15.31,104.24,9.78,18.08,7,false,pass,ok,1.877,299.18,late sampling
S0187,P28,east,npk,2024-12-06,6.31,19.74,51.11,21.21,101.3,23.49,21.87,5,true,fail,maintenance,1.533,347.03,late sampling
S0188,P29,south,lime,2024-02-23,7.02,22.72,35.23,10.86,131.01,10.03,9.94,9,false,pass,ok,1.015,274.87,recheck moisture
S0189,P30,north,organic,2024-05-11,6.54,23.74,30.53,12.14,102.11,9.99,0.0,20,true,pass,ok,1.579,277.52,
S0190,P31,south,npk,2024-08-19,5.69,20.13,39.49,17.88,150.24,7.78,10.8,18,false,pass,ok,1.48,339.87,late sampling
S0191,P32,west,control,2024-08-08,6.73,22.81,39.46,11.02,86.94,10.93,11.42,23,false,pass,ok,1.164,289.3,baseline
S0192,P33,west,lime,2024-10-08,6.91,20.42,31.22,7.0,86.61,21.89,4.76,8,true,pass,ok,1.619,277.54,sensor drift
S0193,P34,west,drought,2024-09-07,6.47,10.39,36.41,7.07,91.25,15.15,8.7,14,true,pass,ok,1.068,205.63,
S0194,P35,north,control,2024-12-08,6.01,6.45,19.53,5.71,67.78,26.18,10.6,4,true,warn,ok,1.409,205.09,baseline
S0195,P36,west,control,2024-09-14,6.29,12.17,23.9,12.25,78.9,28.78,0.0,18,true,pass,ok,1.297,237.29,
S0196,P37,west,npk,2024-11-17,5.78,14.73,41.05,20.96,77.67,8.09,0.87,8,false,pass,ok,1.587,321.15,late sampling
S0197,P38,central,drought,2024-02-27,5.9,14.58,33.55,10.5,37.41,28.2,5.44,10,true,pass,ok,0.992,222.61,edge plot
